title,year,duration,ratingimdb,director,actor,country,genre,oscarnom,oscars
Inglourious Basterds,2009,153,8.3,Quentin Tarantino,"{'"Brad Pitt'",'"Christopher Waltz'",'"Michael Fassbender'"}",USA,"{Adventure,Action,Drama}",8,1
The Lord of the Rings: The Two Towers,2003,201,8.9,Peter Jackson,"{'"Elijah Wood'",'"Ian McKellen'",'"Viggo Mortensen'"}",New Zealand,"{Adventure,Action,Drama}",11,11
Jojo Rabbit,2019,108,7.9,Taika Waititi,"{'"Taika Waititi'",'"Scarlett Johansson'",'"Roman Griffin Davis'"}",USA,"{Comedy,War,Drama}",6,1
Prisoners,2013,153,8.1,Denis Villeneuve,"{'"Hugh Jackman'",'"Jake Gyllenhaal'",'"Viola Davis'"}",USA,"{Mystery,Crime,Drama}",1,1
Inception,2010,148,8.8,Christopher Nolan,"{'"Leonardo DiCaprio'",'"Tom Hardy'",'"Cilian Murphy'"}",USA,"{Adventure,Action,Sci-Fi}",8,4
The Shawshank Redemption,1994,142,9.3,Frank Darabont,"{'"Tim Robbins'",'"Morgan Freeman'"}",USA,{Drama},7,0
Intouchables,2011,112,8.5,Olivier Nakache,"{'"Fracois Cluzet'",'"Omar Sy'"}",France,"{Comedy,Biography,Drama}",0,0
In Bruges,2008,107,7.9,Martin McDonagh,"{'"Colin Farrell'",'"Brendan Gleeson'",'"Ralph Fienes'"}",UK,"{Comedy,Crime,Drama}",1,0
Gladiator,2000,155,8.5,Ridley Scott,"{'"Russell Crowe'",'"Joaquin Phoenix'",'"Connie Nielsen'"}",USA,"{Adventure,Action,Drama}",12,5
Dune,2021,155,8.3,Denis Villeneuve,"{'"Timothee Chalamet'",'"Rebecca Ferguson'",'"Oscar Isaac'"}",USA,"{Adventure,Action,Drama}",0,0
